"Date","Price","Open","High","Low","Vol.","Change %"
"02/14/2022","74,962.0","74,962.0","75,456.0","74,467.0","928.92K","-0.65%"
"02/11/2022","75,456.0","75,621.0","76,115.0","75,291.0","769.92K","-0.43%"
"02/10/2022","75,785.0","75,291.0","75,785.0","74,303.0","1.17M","1.43%"
"02/09/2022","74,715.0","75,538.0","75,538.0","74,632.0","1.37M","0.11%"
"02/08/2022","74,632.0","73,726.0","75,621.0","73,726.0","1.01M","1.23%"
"02/07/2022","73,726.0","74,138.0","74,220.0","73,314.0","622.08K","0.00%"
"01/28/2022","73,726.0","70,843.0","73,726.0","70,761.0","1.86M","4.19%"
"01/27/2022","70,761.0","70,843.0","71,420.0","70,349.0","863.52K","-0.12%"
"01/26/2022","70,843.0","71,667.0","71,667.0","70,431.0","1.10M","-0.58%"
"01/25/2022","71,255.0","70,184.0","72,079.0","69,195.0","1.43M","1.41%"
"01/24/2022","70,266.0","72,655.0","72,902.0","70,019.0","2.43M","-3.29%"
"01/21/2022","72,655.0","73,314.0","73,973.0","72,655.0","1.01M","-0.68%"
"01/20/2022","73,149.0","72,820.0","74,962.0","72,738.0","1.60M","0.57%"
"01/19/2022","72,738.0","72,573.0","73,479.0","72,490.0","893.88K","0.23%"
"01/18/2022","72,573.0","72,738.0","73,808.0","72,490.0","1.45M","-1.01%"
"01/17/2022","73,314.0","74,550.0","75,209.0","73,314.0","1.88M","-2.52%"
"01/14/2022","75,209.0","75,538.0","75,868.0","74,879.0","824.04K","-0.87%"
"01/13/2022","75,868.0","74,879.0","76,362.0","73,973.0","2.17M","2.79%"
"01/12/2022","73,808.0","73,397.0","74,632.0","72,902.0","2.09M","0.11%"
"01/11/2022","73,726.0","75,785.0","75,950.0","73,397.0","3.01M","-2.72%"
"01/10/2022","75,785.0","76,774.0","77,021.0","75,703.0","2.26M","-1.50%"
"01/07/2022","76,939.0","76,692.0","77,186.0","76,692.0","1.22M","-0.11%"
"01/06/2022","77,021.0","77,103.0","77,433.0","77,021.0","1.43M","-0.11%"
"01/05/2022","77,103.0","77,186.0","77,598.0","77,021.0","1.43M","0.11%"
"01/04/2022","77,021.0","76,939.0","77,598.0","76,856.0","2.32M","0.54%"
"12/31/2021","76,609.0","77,268.0","77,762.0","76,609.0","1.93M","-0.64%"
"12/30/2021","77,103.0","77,186.0","77,680.0","77,021.0","972.96K","0.00%"
"12/29/2021","77,103.0","78,092.0","78,092.0","77,103.0","1.09M","-0.95%"
"12/28/2021","77,845.0","77,845.0","78,174.0","77,515.0","680.76K","0.00%"
"12/27/2021","77,845.0","77,598.0","78,257.0","76,856.0","952.44K","0.75%"
"12/24/2021","77,268.0","77,021.0","77,845.0","76,444.0","1.42M","0.64%"
"12/23/2021","76,774.0","78,257.0","78,257.0","76,609.0","2.32M","-1.90%"
"12/22/2021","78,257.0","78,257.0","78,586.0","77,927.0","2.00M","-0.21%"
"12/21/2021","78,421.0","78,833.0","78,998.0","78,339.0","1.33M","-0.63%"
"12/20/2021","78,916.0","79,492.0","79,492.0","78,669.0","1.22M","-0.62%"
"12/17/2021","79,410.0","78,751.0","79,904.0","78,669.0","1.38M","0.94%"
"12/16/2021","78,669.0","80,316.0","80,316.0","78,669.0","1.49M","-0.42%"
"12/15/2021","78,998.0","78,833.0","79,328.0","78,751.0","970.08K","0.21%"
"12/14/2021","78,833.0","79,080.0","79,410.0","78,586.0","1.37M","-0.31%"
"12/13/2021","79,080.0","79,492.0","79,492.0","78,751.0","1.08M","0.21%"
"12/10/2021","78,916.0","79,410.0","79,904.0","78,586.0","1.39M","-1.24%"
